Period,Building,Floor,Cost Center Id,Room Name,Weight
12/1/2018,Choachi,Floor 1,1004-031,Choachi Lobby,1
12/1/2018,Choachi,Floor 1,1004-031,Choachi Sala 1,1
12/1/2018,Choachi,Floor 1,1004-031,Choachi Sala 2,1
12/1/2018,Choachi,Floor 1,1004-031,Choachi Sala 3,1
12/1/2018,Choachi,Floor 2,1004-031,Choachi Sala 5,1
12/1/2018,Choachi,Floor 2,1004-031,Choachi Sala 6,1
12/1/2018,Choachi,Floor 2,1004-031,Choachi Sala 7,1
12/1/2018,Choachi,Floor 2,1004-031,Choachi Sala 8,1
12/1/2018,Choachi,Floor 2,1004-031,Choachi Sala 9,1
12/1/2018,Choachi,Floor 2,1004-031,Choachi Sala 10,1
12/1/2018,Choachi,Floor 3,7004-031,Choachi Sala 11,1
12/1/2018,Choachi,Floor 3,7076-011,Choachi Sala 12,1
12/1/2018,Choachi,Floor 3,7075-011,Choachi Sala 13,1
12/1/2018,Choachi,Floor 3,7075-011,Choachi Sala 14,1
12/1/2018,Choachi,Floor 3,7076-801,Choachi Sala 15,1
12/1/2018,Choachi,Floor 4,7004-031,Choachi Sala 16,1
12/1/2018,Choachi,Floor 4,7073-001,Choachi Sala 17,1
12/1/2018,Choachi,Floor 4,7073-001,Choachi Sala 18,1
12/1/2018,Choachi,Floor 4,7073-001,Choachi Sala 19,1
12/1/2018,Choachi,Floor 4,7073-001,Choachi Sala 20,1
12/1/2018,Choachi,Floor 5,7077-001,Choachi Sala 21,1
12/1/2018,Choachi,Floor 5,7077-001,Choachi Sala 22,1
12/1/2018,Choachi,Floor 5,7077-001,Choachi Sala 23,1
12/1/2018,Choachi,Floor 5,7077-001,Choachi Sala 24,1
12/1/2018,Choachi,Floor 5,7077-001,Choachi Sala 25,1
12/1/2018,Choachi,Floor 5,7004-031,Choachi Sala 26,1
12/1/2018,Salento,Floor 1,1004-031,Salento Sala 1,1
12/1/2018,Salento,Floor 1,1004-031,Salento Sala 2,1
12/1/2018,Salento,Floor 1,1004-031,Salento Sala 4,1
12/1/2018,Salento,Floor 1,1004-031,Salento Sala 6,1
12/1/2018,Salento,Floor 1,1004-031,Salento Sala 7,1
12/1/2018,Salento,Floor 1,1004-031,Salento Sala 8,1
12/1/2018,Salento,Floor 1,1004-031,Salento Sala 11,1
12/1/2018,Salento,Floor 1,1004-031,Salento Sala 3,1
12/1/2018,Salento,Floor 1,1004-031,Salento Sala 5,1
12/1/2018,Salento,Floor 1,1004-031,Salento Sala 9,1
12/1/2018,Salento,Floor 1,1004-031,Salento Sala 12,1
12/1/2018,Salento,Floor 1,1004-031,Salento Sala 10,1
12/1/2018,Salento,Floor 1,1004-031,Salento Sala 13,1
12/1/2018,Salento,Floor 2,1001-001,Choachi Sala 10,1
12/1/2018,Salento,Floor 2,1001-001,Choachi Sala 8,1
12/1/2018,Salento,Floor 2,1001-001,Choachi Sala 9,1
12/1/2018,Salento,Floor 2,1001-001,Choachi Sala 5,1
12/1/2018,Salento,Floor 2,1001-001,Choachi Sala 6,1
12/1/2018,Salento,Floor 3,1001-001,Salento Sala 16,1
12/1/2018,Salento,Floor 3,1070-001,Salento Sala 17,1
12/1/2018,Salento,Floor 4,1003-071,Salento Sala 18,1
12/1/2018,Salento,Floor 5,1004-031,Salento Sala 21,1
12/1/2018,Salento,Lobby,1004-031,Salento Lobby,1
12/1/2018,Usaquen,Floor 1,7004-031,Usaquen Lobby,1
12/1/2018,Salento,Floor 4,1001-001,Salento Sala 19,1
12/1/2018,Salento,Floor 4,1001-001,Salento Sala 20,1
12/1/2018,Salento,Floor 5,1001-001,Salento Sala 23,1
12/1/2018,Salento,Floor 5,1001-001,Salento Sala 22,1
12/1/2018,Usaquen,Floor 2,1001-001,Usaquen Sala 1,1
12/1/2018,Usaquen,Floor 3,1001-001,Usaquen Sala 4,1
12/1/2018,Usaquen,Floor 3,1001-001,Usaquen Sala 5,1
12/1/2018,Usaquen,Floor 3,1001-001,Usaquen Sala 2,1
12/1/2018,Usaquen,Floor 3,1001-001,Usaquen Sala 6,1
12/1/2018,Usaquen,Floor 3,1001-001,Usaquen Sala 3,1
12/1/2018,Usaquen,Floor 4,1001-001,Usaquen Sala 7,1
12/1/2018,Usaquen,Floor 4,1001-001,Usaquen Sala 11,1
12/1/2018,Usaquen,Floor 4,1001-001,Usaquen Sala 8,1
12/1/2018,Usaquen,Floor 4,1001-001,Usaquen Sala 9,1
12/1/2018,Usaquen,Floor 4,1001-001,Usaquen Sala 10,1
12/1/2018,Usaquen,Floor 5,1001-001,Usaquen Sala 12,1
1/1/2019,Choachi,Floor 1,1004-031,Choachi Lobby,1
1/1/2019,Choachi,Floor 1,1004-031,Choachi Sala 1,1
1/1/2019,Choachi,Floor 1,1004-031,Choachi Sala 2,1
1/1/2019,Choachi,Floor 1,1004-031,Choachi Sala 3,1
1/1/2019,Choachi,Floor 2,1004-031,Choachi Sala 5,1
1/1/2019,Choachi,Floor 2,1004-031,Choachi Sala 6,1
1/1/2019,Choachi,Floor 2,1004-031,Choachi Sala 7,1
1/1/2019,Choachi,Floor 2,1004-031,Choachi Sala 8,1
1/1/2019,Choachi,Floor 2,1004-031,Choachi Sala 9,1
1/1/2019,Choachi,Floor 2,1004-031,Choachi Sala 10,1
1/1/2019,Choachi,Floor 3,7004-031,Choachi Sala 11,1
1/1/2019,Choachi,Floor 3,7004-031,Choachi Sala 12,1
1/1/2019,Choachi,Floor 3,7075-011,Choachi Sala 13,1
1/1/2019,Choachi,Floor 3,7075-011,Choachi Sala 14,1
1/1/2019,Choachi,Floor 3,7004-031,Choachi Sala 15,1
1/1/2019,Choachi,Floor 4,7004-031,Choachi Sala 16,1
1/1/2019,Choachi,Floor 4,7073-001,Choachi Sala 17,1
1/1/2019,Choachi,Floor 4,7073-001,Choachi Sala 18,1
1/1/2019,Choachi,Floor 4,7073-001,Choachi Sala 19,1
1/1/2019,Choachi,Floor 4,7073-001,Choachi Sala 20,1
1/1/2019,Choachi,Floor 5,7076-801,Choachi Sala 21,1
1/1/2019,Choachi,Floor 5,7077-001,Choachi Sala 22,1
1/1/2019,Choachi,Floor 5,7077-001,Choachi Sala 23,1
1/1/2019,Choachi,Floor 5,7077-001,Choachi Sala 24,1
1/1/2019,Choachi,Floor 5,7076-011,Choachi Sala 25,1
1/1/2019,Choachi,Floor 5,7004-031,Choachi Sala 26,1
1/1/2019,Salento,Floor 1,1004-031,Salento Sala 2,1
1/1/2019,Salento,Floor 1,1004-031,Salento Sala 4,1
1/1/2019,Salento,Floor 1,1004-031,Salento Sala 7,1
1/1/2019,Salento,Floor 1,1004-031,Salento Sala 11,1
1/1/2019,Salento,Floor 1,1004-031,Salento Sala 1,1
1/1/2019,Salento,Floor 1,1004-031,Salento Sala 6,1
1/1/2019,Salento,Floor 1,1004-031,Salento Sala 8,1
1/1/2019,Salento,Floor 1,1004-031,Salento Sala 9,1
1/1/2019,Salento,Floor 1,1004-031,Salento Sala 12,1
1/1/2019,Salento,Floor 1,1004-031,Salento Sala 3,1
1/1/2019,Salento,Floor 1,1004-031,Salento Sala 5,1
1/1/2019,Salento,Floor 1,1004-031,Salento Sala 10,1
1/1/2019,Salento,Floor 1,1004-031,Salento Sala 13,1
1/1/2019,Salento,Floor 2,1001-001,Salento Sala 14,1
1/1/2019,Salento,Floor 2,1001-001,Salento Sala 15,1
1/1/2019,Salento,Floor 3,1004-031,Salento Sala 17,1
1/1/2019,Salento,Floor 4,1004-031,Salento Sala 18,1
1/1/2019,Salento,Floor 5,1004-031,Salento Sala 21,1
1/1/2019,Salento,Lobby,1004-031,Salento Lobby,1
1/1/2019,Usaquen,Floor 1,7004-031,Usaquen Lobby,1
1/1/2019,Usaquen,Floor 2,1001-001,Usaquen Sala 1,1
1/1/2019,Usaquen,Floor 3,1001-001,Usaquen Sala 4,1
1/1/2019,Usaquen,Floor 3,1001-001,Usaquen Sala 5,1
1/1/2019,Usaquen,Floor 3,1001-001,Usaquen Sala 2,1
1/1/2019,Usaquen,Floor 3,1001-001,Usaquen Sala 6,1
1/1/2019,Usaquen,Floor 3,1001-001,Usaquen Sala 3,1
1/1/2019,Usaquen,Floor 4,1001-001,Usaquen Sala 7,1
1/1/2019,Usaquen,Floor 4,1001-001,Usaquen Sala 11,1
1/1/2019,Usaquen,Floor 4,1001-001,Usaquen Sala 8,1
1/1/2019,Usaquen,Floor 4,1001-001,Usaquen Sala 9,1
1/1/2019,Usaquen,Floor 4,1001-001,Usaquen Sala 10,1
1/1/2019,Usaquen,Floor 5,1001-001,Usaquen Sala 12,1
1/1/2019,Salento,Floor 3,1001-001,Salento Sala 16,1
1/1/2019,Salento,Floor 4,1001-001,Salento Sala 19,1
1/1/2019,Salento,Floor 4,1001-001,Salento Sala 20,1
1/1/2019,Salento,Floor 5,1001-001,Salento Sala 23,1
1/1/2019,Salento,Floor 5,1001-001,Salento Sala 22,1
2/1/2019,Choachi,Floor 1,1004-031,Choachi Lobby,1
2/1/2019,Choachi,Floor 1,1004-031,Choachi Sala 1,1
2/1/2019,Choachi,Floor 1,1004-031,Choachi Sala 2,1
2/1/2019,Choachi,Floor 1,1004-031,Choachi Sala 3,1
2/1/2019,Choachi,Floor 2,1004-031,Choachi Sala 5,1
2/1/2019,Choachi,Floor 2,1004-031,Choachi Sala 6,1
2/1/2019,Choachi,Floor 2,1004-031,Choachi Sala 7,1
2/1/2019,Choachi,Floor 2,1004-031,Choachi Sala 8,1
2/1/2019,Choachi,Floor 2,1004-031,Choachi Sala 9,1
2/1/2019,Choachi,Floor 2,1004-031,Choachi Sala 10,1
2/1/2019,Choachi,Floor 3,7004-031,Choachi Sala 11,1
2/1/2019,Choachi,Floor 3,7004-031,Choachi Sala 12,1
2/1/2019,Choachi,Floor 3,7075-011,Choachi Sala 13,1
2/1/2019,Choachi,Floor 3,7075-011,Choachi Sala 14,1
2/1/2019,Choachi,Floor 3,7004-031,Choachi Sala 15,1
2/1/2019,Choachi,Floor 4,7004-031,Choachi Sala 16,1
2/1/2019,Choachi,Floor 4,7073-001,Choachi Sala 17,1
2/1/2019,Choachi,Floor 4,7073-001,Choachi Sala 18,1
2/1/2019,Choachi,Floor 4,7073-001,Choachi Sala 19,1
2/1/2019,Choachi,Floor 4,7073-001,Choachi Sala 20,1
2/1/2019,Choachi,Floor 5,7076-807,Choachi Sala 21,1
2/1/2019,Choachi,Floor 5,7077-001,Choachi Sala 22,1
2/1/2019,Choachi,Floor 5,7077-001,Choachi Sala 23,1
2/1/2019,Choachi,Floor 5,7077-001,Choachi Sala 24,1
2/1/2019,Choachi,Floor 5,7076-011,Choachi Sala 25,1
2/1/2019,Choachi,Floor 5,7004-031,Choachi Sala 26,1
2/1/2019,Salento,Floor 1,1004-031,Salento Sala 7,1
2/1/2019,Salento,Floor 1,1004-031,Salento Sala 11,1
2/1/2019,Salento,Floor 1,1004-031,Salento Sala 2,1
2/1/2019,Salento,Floor 1,1004-031,Salento Sala 4,1
2/1/2019,Salento,Floor 1,1004-031,Salento Sala 8,1
2/1/2019,Salento,Floor 1,1004-031,Salento Sala 12,1
2/1/2019,Salento,Floor 1,1004-031,Salento Sala 1,1
2/1/2019,Salento,Floor 1,1004-031,Salento Sala 3,1
