Update,Building,Floor,Total Area (m2),Total Rent,Seats
1/1/2018,Salento,Floor 1,1101.28,107382749.5,48
1/1/2018,Salento,Floor 2,3300.03,133927611,556
1/1/2018,Salento,Floor 3,3376.6,654760611.3,558
1/1/2018,Salento,Floor 4,3376.6,654760611.3,564
1/1/2018,Salento,Floor 5,3376.6,111804320.1,584
1/1/2018,Salento,Lobby,173.4,10944799.92,0
1/1/2018,Choachi,Floor 1,1555.74,89684257.11,20
1/1/2018,Choachi,Floor 2,1654.41,99407632.33,418
1/1/2018,Choachi,Floor 3,1676.7,96657273.2,416
1/1/2018,Choachi,Floor 4,1676.7,96657273.2,418
1/1/2018,Choachi,Floor 5,1676.7,96657273.2,504
1/1/2018,Usaquen,Floor 1,1593.4,8671849.668,240
1/1/2018,Usaquen,Floor 2,1183.94,97088361.34,444
1/1/2018,Usaquen,Floor 3,1158.88,88728316.64,424
1/1/2018,Usaquen,Floor 4,1158.88,88728316.64,458
1/1/2018,Usaquen,Floor 5,1160.11,88794713.38,452
1/1/2019,Salento,Floor 1,1702.28,331871448,29
1/1/2019,Salento,Floor 2,4500.04,334940585,578
1/1/2019,Salento,Floor 3,4576.6,339975633,579
1/1/2019,Salento,Floor 4,4576.6,339975633,582
1/1/2019,Salento,Floor 5,4576.6,332728540,592
1/1/2019,Salento,Lobby,173.4,33402293,0
1/1/2019,Choachi,Floor 1,2355.74,93433055,356
1/1/2019,Choachi,Floor 2,1724.41,93562866,509
1/1/2019,Choachi,Floor 3,576.7,90797547,512
1/1/2019,Choachi,Floor 4,576.7,90797547,509
1/1/2019,Choachi,Floor 5,576.7,90797547,257
1/1/2019,Usaquen,Floor 1,239.34,9045566.834,26
1/1/2019,Usaquen,Floor 2,1783.94,93372422.29,200
1/1/2019,Usaquen,Floor 3,1758.95,99853766.15,214
1/1/2019,Usaquen,Floor 4,1758.95,99853766.15,199
1/1/2019,Usaquen,Floor 5,1760.17,99923023.97,196
