Year-Month,Building,Floor,Seats,Cost
2018-12-01,Salento,Floor 1,9,1070-011
2018-12-01,Salento,Floor 1,7,1070-001
2018-12-01,Salento,Floor 1,1,1070-031
2018-12-01,Salento,Floor 1,2,1070-071
2018-12-01,Salento,Floor 1,1,1070-171
2018-12-01,Salento,Floor 1,4,1070-077
2018-12-01,Salento,Floor 2,375,1070-011
2018-12-01,Salento,Floor 2,8,1070-001
2018-12-01,Salento,Floor 3,131,1070-011
2018-12-01,Salento,Floor 3,155,1070-071
2018-12-01,Salento,Floor 3,53,1070-031
2018-12-01,Salento,Floor 3,41,1070-041
2018-12-01,Salento,Floor 3,42,1070-171
2018-12-01,Salento,Floor 3,12,1070-001
2018-12-01,Salento,Floor 4,122,1070-117
2018-12-01,Salento,Floor 4,252,1070-077
2018-12-01,Salento,Floor 4,55,1070-131
2018-12-01,Salento,Floor 4,7,1070-001
2018-12-01,Salento,Floor 4,1,1003-071
2018-12-01,Salento,Floor 5,42,1070-131
2018-12-01,Salento,Floor 5,152,1070-117
2018-12-01,Salento,Floor 5,66,1070-011
2018-12-01,Salento,Floor 5,3,1070-071
2018-12-01,Salento,Floor 5,179,1070-001
2018-12-01,Choachi,Floor 2,43,7004-181
2018-12-01,Choachi,Floor 2,235,7077-011
2018-12-01,Choachi,Floor 2,36,7077-017
2018-12-01,Choachi,Floor 3,358,7004-141
2018-12-01,Choachi,Floor 4,96,7004-181
2018-12-01,Choachi,Floor 4,71,7071-061
2018-12-01,Choachi,Floor 4,152,7071-071
2018-12-01,Choachi,Floor 4,45,7071-001
2018-12-01,Choachi,Floor 5,36,7071-041
2018-12-01,Choachi,Floor 5,13,7071-031
2018-12-01,Choachi,Floor 5,7,7071-131
2018-12-01,Choachi,Floor 5,2,7071-161
2018-12-01,Choachi,Floor 5,8,7071-081
2018-12-01,Choachi,Floor 5,6,7071-031
2018-12-01,Choachi,Floor 5,72,7071-111
2018-12-01,Choachi,Floor 5,15,7071-141
2018-12-01,Choachi,Floor 5,2,7074-011
2018-12-01,Choachi,Floor 5,96,7004-181
2018-12-01,Usaquen,Floor 2,115,1004-031
2018-12-01,Usaquen,Floor 2,82,1004-181
2018-12-01,Usaquen,Floor 3,1,7073-001
2018-12-01,Usaquen,Floor 3,95,7073-011
2018-12-01,Usaquen,Floor 3,14,7073-017
2018-12-01,Usaquen,Floor 3,11,7073-013
2018-12-01,Usaquen,Floor 3,6,7073-014
2018-12-01,Usaquen,Floor 3,47,7004-181
2018-12-01,Usaquen,Floor 3,3,7073-013
2018-12-01,Usaquen,Floor 3,36,7004-031
2018-12-01,Usaquen,Floor 4,1,7073-001
2018-12-01,Usaquen,Floor 4,55,7073-011
2018-12-01,Usaquen,Floor 4,61,7077-801
2018-12-01,Usaquen,Floor 4,82,7004-181
2018-12-01,Usaquen,Floor 5,9,7076-011
2018-12-01,Usaquen,Floor 5,32,7076-801
2018-12-01,Usaquen,Floor 5,16,7076-013
2018-12-01,Usaquen,Floor 5,23,7077-017
2018-12-01,Usaquen,Floor 5,24,7077-011
2018-12-01,Usaquen,Floor 5,4,7077-001
2018-12-01,Usaquen,Floor 5,56,7077-801
2018-12-01,Usaquen,Floor 5,19,7077-071
2018-12-01,Usaquen,Floor 5,13,7077-013
2018-12-01,Salento,Floor 1,24,1001-001
2018-12-01,Salento,Floor 2,173,1001-001
2018-12-01,Salento,Floor 3,124,1001-001
2018-12-01,Salento,Floor 4,127,1001-001
2018-12-01,Salento,Floor 5,142,1001-001
2018-12-01,Choachi,Floor 1,20,1001-001
2018-12-01,Choachi,Floor 2,104,1001-001
2018-12-01,Choachi,Floor 3,58,1001-001
2018-12-01,Choachi,Floor 4,54,1001-001
2018-12-01,Choachi,Floor 5,247,1001-001
2018-12-01,Usaquen,Floor 1,240,1001-001
2018-12-01,Usaquen,Floor 2,247,1001-001
2018-12-01,Usaquen,Floor 3,211,1001-001
2018-12-01,Usaquen,Floor 4,259,1001-001
2018-12-01,Usaquen,Floor 5,256,1001-001
2019-01-01,Salento,Floor 4,53,1070-001
2019-01-01,Salento,Floor 1,8,1070-011
2019-01-01,Salento,Floor 1,15,1070-001
2019-01-01,Salento,Floor 1,1,1070-031
2019-01-01,Salento,Floor 1,2,1070-071
2019-01-01,Salento,Floor 1,1,1070-171
2019-01-01,Salento,Floor 1,2,1070-077
2019-01-01,Salento,Floor 2,371,1070-011
2019-01-01,Salento,Floor 2,5,1070-001
2019-01-01,Salento,Floor 2,2,1004-031
2019-01-01,Salento,Floor 3,133,1070-011
2019-01-01,Salento,Floor 3,152,1070-071
2019-01-01,Salento,Floor 3,52,1070-031
2019-01-01,Salento,Floor 3,39,1070-041
2019-01-01,Salento,Floor 3,44,1070-171
2019-01-01,Salento,Floor 3,9,1070-001
2019-01-01,Salento,Floor 4,153,1070-077
2019-01-01,Salento,Floor 4,78,1070-131
2019-01-01,Salento,Floor 4,1,1004-031
2019-01-01,Salento,Floor 4,66,1070-177
2019-01-01,Salento,Floor 4,14,1070-071
2019-01-01,Salento,Floor 4,17,1070-137
2019-01-01,Salento,Floor 5,225,1070-117
2019-01-01,Salento,Floor 5,66,1070-011
2019-01-01,Salento,Floor 5,155,1070-001
2019-01-01,Salento,Floor 5,1,1070-077
2019-01-01,Choachi,Floor 2,245,7004-181
2019-01-01,Choachi,Floor 2,69,7077-017
2019-01-01,Choachi,Floor 3,254,7077-011
2019-01-01,Choachi,Floor 3,17,7077-001
2019-01-01,Choachi,Floor 3,2,7071-011
2019-01-01,Choachi,Floor 3,39,7077-017
2019-01-01,Choachi,Floor 4,143,7004-181
2019-01-01,Choachi,Floor 4,83,7071-061
2019-01-01,Choachi,Floor 4,83,7071-071
2019-01-01,Choachi,Floor 5,39,7071-041
2019-01-01,Choachi,Floor 5,12,7071-031
2019-01-01,Choachi,Floor 5,7,7071-131
2019-01-01,Choachi,Floor 5,3,7071-161
2019-01-01,Choachi,Floor 5,7,7071-081
2019-01-01,Choachi,Floor 5,5,7071-031
2019-01-01,Choachi,Floor 5,72,7071-111
2019-01-01,Choachi,Floor 5,9,7071-141
2019-01-01,Choachi,Floor 5,4,7074-011
2019-01-01,Choachi,Floor 5,27,7004-181
2019-01-01,Choachi,Floor 5,5,7078-011
2019-01-01,Choachi,Floor 5,62,7071-001
2019-01-01,Usaquen,Floor 2,145,1004-031
2019-01-01,Usaquen,Floor 2,52,1004-181
2019-01-01,Usaquen,Floor 3,1,7073-001
2019-01-01,Usaquen,Floor 3,147,7073-011
2019-01-01,Usaquen,Floor 3,24,7073-017
2019-01-01,Usaquen,Floor 3,24,7073-013
2019-01-01,Usaquen,Floor 3,17,7073-014
2019-01-01,Usaquen,Floor 4,3,7004-181
2019-01-01,Usaquen,Floor 4,1,7073-001
2019-01-01,Usaquen,Floor 4,55,7073-011
2019-01-01,Usaquen,Floor 4,76,7077-801
2019-01-01,Usaquen,Floor 4,64,7073-801
2019-01-01,Usaquen,Floor 5,5,7076-011
2019-01-01,Usaquen,Floor 5,32,7076-801
2019-01-01,Usaquen,Floor 5,12,7076-013
2019-01-01,Usaquen,Floor 5,23,7076-807
2019-01-01,Usaquen,Floor 5,27,7077-017
2019-01-01,Usaquen,Floor 5,21,7077-011
2019-01-01,Usaquen,Floor 5,4,7077-001
2019-01-01,Usaquen,Floor 5,29,7077-801
2019-01-01,Usaquen,Floor 5,19,7077-071
2019-01-01,Usaquen,Floor 5,13,7077-013
2019-01-01,Usaquen,Floor 5,9,7007-031
2019-01-01,Usaquen,Floor 5,2,7077-014
2019-01-01,Salento,Floor 2,200,1001-001
2019-01-01,Salento,Floor 3,150,1001-001
2019-01-01,Salento,Floor 4,200,1001-001
2019-01-01,Salento,Floor 5,145,1001-001
2019-01-01,Choachi,Floor 1,356,1001-001
2019-01-01,Choachi,Floor 2,195,1001-001
2019-01-01,Choachi,Floor 3,200,1001-001
2019-01-01,Choachi,Floor 4,200,1001-001
2019-01-01,Choachi,Floor 5,5,1001-001
2019-01-01,Usaquen,Floor 1,26,1001-001
2019-01-01,Usaquen,Floor 2,3,1001-001
2019-01-01,Usaquen,Floor 3,1,1001-001
2019-02-01,Salento,Floor 4,83,1070-001
2019-02-01,Salento,Floor 1,8,1070-011
2019-02-01,Salento,Floor 1,15,1070-001
2019-02-01,Salento,Floor 1,1,1070-031
2019-02-01,Salento,Floor 1,2,1070-071
2019-02-01,Salento,Floor 1,1,1070-171
2019-02-01,Salento,Floor 1,2,1070-077
2019-02-01,Salento,Floor 2,371,1070-011
2019-02-01,Salento,Floor 2,7,1070-001
2019-02-01,Salento,Floor 3,133,1070-011
2019-02-01,Salento,Floor 3,155,1070-071
2019-02-01,Salento,Floor 3,52,1070-031
2019-02-01,Salento,Floor 3,41,1070-041
2019-02-01,Salento,Floor 3,42,1070-171
2019-02-01,Salento,Floor 3,11,1070-001
2019-02-01,Salento,Floor 4,165,1070-077
2019-02-01,Salento,Floor 4,95,1070-131
2019-02-01,Salento,Floor 4,3,1004-031
2019-02-01,Salento,Floor 4,25,1070-171
2019-02-01,Salento,Floor 4,16,1070-071
2019-02-01,Salento,Floor 5,224,1070-117
2019-02-01,Salento,Floor 5,66,1070-011
2019-02-01,Salento,Floor 5,152,1070-001
2019-02-01,Choachi,Floor 2,235,7004-181
2019-02-01,Choachi,Floor 2,79,7077-017
2019-02-01,Choachi,Floor 3,254,7077-011
2019-02-01,Choachi,Floor 3,17,7077-001
2019-02-01,Choachi,Floor 3,2,7071-011
2019-02-01,Choachi,Floor 3,39,7004-181
2019-02-01,Choachi,Floor 4,96,7004-181
2019-02-01,Choachi,Floor 4,71,7071-061
2019-02-01,Choachi,Floor 4,152,7071-071
2019-02-01,Choachi,Floor 4,45,7071-001
2019-02-01,Choachi,Floor 5,36,7071-041
2019-02-01,Choachi,Floor 5,13,7071-031
2019-02-01,Choachi,Floor 5,7,7071-131
2019-02-01,Choachi,Floor 5,2,7071-161
2019-02-01,Choachi,Floor 5,8,7071-081
2019-02-01,Choachi,Floor 5,6,7071-031
2019-02-01,Choachi,Floor 5,72,7071-111
2019-02-01,Choachi,Floor 5,15,7071-141
2019-02-01,Choachi,Floor 5,2,7074-011
2019-02-01,Choachi,Floor 5,96,7004-181
2019-02-01,Usaquen,Floor 2,113,1004-031
2019-02-01,Usaquen,Floor 2,79,1004-181
2019-02-01,Usaquen,Floor 3,1,7073-001
2019-02-01,Usaquen,Floor 3,143,7073-011
2019-02-01,Usaquen,Floor 3,14,7073-017
2019-02-01,Usaquen,Floor 3,18,7073-013
2019-02-01,Usaquen,Floor 3,9,7073-014
2019-02-01,Usaquen,Floor 3,28,7004-181
2019-02-01,Usaquen,Floor 4,3,7004-181
2019-02-01,Usaquen,Floor 4,1,7073-001
2019-02-01,Usaquen,Floor 4,55,7073-011
2019-02-01,Usaquen,Floor 4,76,7077-801
2019-02-01,Usaquen,Floor 4,64,7073-801
2019-02-01,Usaquen,Floor 5,5,7076-011
2019-02-01,Usaquen,Floor 5,32,7076-801
2019-02-01,Usaquen,Floor 5,12,7076-013
2019-02-01,Usaquen,Floor 5,23,7076-807
2019-02-01,Usaquen,Floor 5,23,7077-017
2019-02-01,Usaquen,Floor 5,24,7077-011
2019-02-01,Usaquen,Floor 5,5,7077-001
2019-02-01,Usaquen,Floor 5,31,7077-801
2019-02-01,Usaquen,Floor 5,19,7077-071
2019-02-01,Usaquen,Floor 5,13,7077-013
2019-02-01,Usaquen,Floor 5,9,7007-031
2019-02-01,Salento,Floor 2,200,1001-001
2019-02-01,Salento,Floor 3,145,1001-001
2019-02-01,Salento,Floor 4,195,1001-001
2019-02-01,Salento,Floor 5,150,1001-001
2019-02-01,Choachi,Floor 1,356,1001-001
2019-02-01,Choachi,Floor 2,195,1001-001
2019-02-01,Choachi,Floor 3,200,1001-001
2019-02-01,Choachi,Floor 4,145,1001-001
2019-02-01,Usaquen,Floor 1,26,1001-001
2019-02-01,Usaquen,Floor 2,8,1001-001
2019-02-01,Usaquen,Floor 3,1,1001-001
